level1,level2,level3,level4,level1_description,level2_description,level3_description,level4_description
J,J01,J01G,J01GA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,AMINOGLYCOSIDE ANTIBACTERIALS,Streptomycins
J,J07,J07B,J07BM,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Papillomavirus vaccines
B,B05,B05B,B05BA,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,I.V. SOLUTIONS,Solutions for parenteral nutrition
G,G04,G04B,G04BE,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Drugs used in erectile dysfunction
R,R02,R02A,R02AA,RESPIRATORY SYSTEM,THROAT PREPARATIONS,THROAT PREPARATIONS,Antiseptics
A,A10,A10X,A10XA,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,OTHER DRUGS USED IN DIABETES,Aldose reductase inhibitors
A,A11,A11G,A11GB,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS","Ascorbic acid (vitamin C), combinations"
J,J05,J05A,J05AX,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Other antivirals
C,C03,C03A,C03AB,CARDIOVASCULAR SYSTEM,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES",Thiazides and potassium in combination
N,N01,N01B,N01BA,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",Esters of aminobenzoic acid
A,A09,A09A,A09AA,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES",Enzyme preparations
C,C07,C07D,C07DA,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS","Beta blocking agents, non-selective, thiazides and other diuretics"
A,A09,A09A,A09AB,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES",Acid preparations
C,C01,C01D,C01DX,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,Other vasodilators used in cardiac diseases
C,C07,C07C,C07CA,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS AND OTHER DIURETICS,"Beta blocking agents, non-selective, and other diuretics"
A,A10,A10B,A10BB,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Sulfonylureas
N,N07,N07B,N07BB,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,DRUGS USED IN ADDICTIVE DISORDERS,Drugs used in alcohol dependence
A,A10,A10A,A10AE,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, long-acting"
C,C09,C09D,C09DA,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",Angiotensin II antagonists and diuretics
J,J01,J01E,J01EA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,SULFONAMIDES AND TRIMETHOPRIM,Trimethoprim and derivatives
C,C01,C01C,C01CE,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,Phosphodiesterase inhibitors
